"siteID","monthyear","sitemonthyear","plotID","easting","northing","mean.max.canopy.ht.aop","max.canopy.ht.aop","rumple.aop","deepgaps.aop","deepgap.fraction.aop","cover.fraction.aop","top.rugosity.aop","vert.sd.aop","sd.sd.aop","entropy.aop","GFP.AOP.aop","VAI.AOP.aop","VCI.AOP.aop"
"UNDE","2016-08","UNDE2016-08","UNDE_038","304567.523","5122975.093","11.2115294855709","21.657","3.15785573750948","87","0.0517549077929804","0.94824509220702","4.95842833478845","7.89339886316185","2.11481068528275","0.530673979212881","0.852180430362777","18.3107283814367",NA
"UNDE","2016-08","UNDE2016-08","UNDE_037","303995.992","5122885.118","14.5137011278195","23.58","2.43502056447967","44","0.0268292682926829","0.973170731707317","3.53893962604106","6.64377484658716","4.31266438179305","0.492190600650096","0.848692503568015","10.3211881255498",NA
"UNDE","2016-08","UNDE2016-08","UNDE_014","306185.772","5122224.11","22.5657429467085","27.992","1.45491809788706","86","0.0511600237953599","0.94883997620464","1.95469367979023","7.83942790221752","3.0777657892601","0.499335281141022","0.869372517128775","7.2924646170242",NA
"UNDE","2016-08","UNDE2016-08","UNDE_044","304714.814","5122914.235","14.9878483322845","43.456","3.83100060268444","92","0.0547293277810827","0.945270672218917","6.0404282916136","7.81928475415709","3.13119840884316","0.529903884368925","0.874536593905112","17.0622360235032",NA
"UNDE","2016-08","UNDE2016-08","UNDE_023","307086.124","5122645.862","13.2266196741855","21.97","2.64194839890596","85","0.0505651397977394","0.949434860202261","4.25148707055084","8.06377962661967","3.5471752283277","0.53984861741858","0.874500271300643","8.27376584260098",NA
"UNDE","2019-06","UNDE2019-06","UNDE_027","307926.545","5120485.852","22.3534324667089","26.447","1.93156315286682","104","0.0618679357525283","0.938132064247472","3.62475536187096","8.15413392920308","3.33958794673248","0.517126317654632","0.865224818582474","8.75397470754967",NA
"UNDE","2019-06","UNDE2019-06","UNDE_035","306575.232","5121385.639","19.6224153555695","24.424","1.70052177275241","92","0.0547293277810827","0.945270672218917","2.98940712404913","6.69487567503575","1.61605456439008","0.512991401930529","0.847878040321788","11.218171603417",NA
"UNDE","2019-06","UNDE2019-06","UNDE_020","308555.512","5120097.089","17.6134811501597","22.779","2.11528283986254","116","0.0690065437239738","0.930993456276026","2.6601412768828","8.33010662320861","2.54528979532963","0.517950400776582","0.878654804494939","25.791465841123",NA
"UNDE","2020-07","UNDE2020-07","UNDE_008","306157.117","5125587.433","16.725874921036","25.161","3.17597069772987","98","0.0582986317668055","0.941701368233195","5.34069612450781","9.21798755560839","1.24918900330937","0.562740653451347","0.842892077657679","25.9959662558185",NA
"UNDE","2020-07","UNDE2020-07","UNDE_003","304535.924","5125645.137","12.5479442705072","20.862","2.35958369737625","84","0.049970255800119","0.950029744199881","3.45906718360989","6.37226643236983","2.31977280270378","0.500276487512526","0.797145444258232","23.4261104373905",NA
"UNDE","2020-07","UNDE2020-07","UNDE_010","304025.627","5123607.306","16.0346285178236","24.219","2.22421869974033","82","0.0487804878048781","0.951219512195122","3.89750828535107","7.91262954004969","2.8131242232828","0.533886965725262","0.875615244052084","7.76288999764009",NA
"UNDE","2020-07","UNDE2020-07","UNDE_006","306336.136","5125406.136","17.2490651629073","23.146","1.83576770792093","85","0.0505651397977394","0.949434860202261","3.3030969631699","7.4555026681818","1.97764999985962","0.527666985897438","0.86370422179301","9.18787328322535",NA
"UNDE","2020-07","UNDE2020-07","UNDE_017","307535.58","5123516.111","12.7893697160883","21.518","2.55275010273967","96","0.0571088637715645","0.942891136228435","4.36948667856801","6.30296011779093","1.14725378738753","0.50828175692703","0.816804937831937","12.8494283771684",NA
"UNDE","2020-07","UNDE2020-07","UNDE_011","306785.59","5120997.688","8.88826402016383","19.922","2.12681548884343","94","0.0559190957763236","0.944080904223676","3.82395719372021","8.03513603225166","2.43636913243117","0.544745519576081","0.862357590845279","10.3664046954823",NA
"UNDE","2020-07","UNDE2020-07","UNDE_007","304504.505","5124808.521","14.90900256246","26.332","2.27976546773541","120","0.0713860797144557","0.928613920285544","4.98737052990426","7.19101041783947","2.28013988770939","0.529805849154546","0.846815594906823","11.5040216605964",NA
"UNDE","2020-07","UNDE2020-07","UNDE_012","306905.787","5123426.872","6.52445028142589","17.78","1.73921882725579","82","0.0487804878048781","0.951219512195122","6.21158256171683","7.56000223261665","1.5142479714493","0.504312411655034","0.843182773093128","21.6255183249093",NA
"WREF","2018-07","WREF2018-07","WREF_027","579548.835","5074441.325","27.5054620213434","52.755","5.42501579123495","88","0.0523497917906008","0.947650208209399","13.3488648171672","14.4425132949468","4.00600772082453","0.637431062757804","0.917710894423284","10.6272774146278",NA
"WREF","2018-07","WREF2018-07","WREF_008","579736.79","5074960.327","23.1802050314465","50.93","6.71357360896441","91","0.0541344437834622","0.945865556216538","14.2933241473104","16.0504502346907","4.23653675786241","0.6588001883749","0.927894271909487","10.275510441247",NA
"WREF","2018-07","WREF2018-07","WREF_070","581129.436","5075043.871","19.086300879397","42.96","3.5857583491451","89","0.0529446757882213","0.947055324211779","11.8746143972295","14.4496335838433","4.12804472381509","0.644050479088727","0.865478368135502","28.4091884397134",NA
"WREF","2018-07","WREF2018-07","WREF_001","577721.867","5077205.832","10.8873391959799","43.175","4.69689950722837","89","0.0529446757882213","0.947055324211779","11.0837902632695","13.2026212834015","3.44615761549122","0.599107545178711","0.898544497834825","15.9124856737445",NA
"WREF","2018-07","WREF2018-07","WREF_026","577002.85","5077054.397","9.95891656131479","25.09","3.35034962988651","99","0.0588935157644259","0.941106484235574","5.57308822216727","10.8304552639675","1.83365516810514","0.574380143920622","0.879860250786852","17.9202547833464",NA
"WREF","2018-07","WREF2018-07","WREF_004","577779.271","5074862.742","20.1400458542714","50.295","6.16394462219391","89","0.0529446757882213","0.947055324211779","16.935615599478","16.3089489284705","2.50605006944621","0.627682408795382","0.886311490909169","27.6549750932594",NA
"WREF","2018-07","WREF2018-07","WREF_020","588549.05","5075792.185","26.193207416719","66.659","5.59573038940334","90","0.0535395597858418","0.946460440214158","17.6959217764066","38.5663142116423","6.0492883067995","0.76570641571521","0.958790152715739","12.6407387822474",NA
"WREF","2018-07","WREF2018-07","WREF_012","588222.07","5076962.127","38.9249836990596","61.775","7.10630057763437","86","0.0511600237953599","0.94883997620464","17.0212753295442","17.3635216334202","3.51791298325052","0.68125804547628","0.881418974472844","27.8185955208907",NA
"WREF","2018-07","WREF2018-07","WREF_013","576190.379","5076278.315","13.6187070263488","29.373","3.17828472942717","87","0.0517549077929804","0.94824509220702","6.51745743937483","10.6650473512704","1.81879380497764","0.577071339602775","0.905046453953024","10.0773169470575",NA
