Record_number,Ref,Study_number,Country,Region,City,Site_name,Lat,Long,K_ppen_CC,Vegetation,Species,Family,Growth_habit,Senesced_sample_method,MAT,TAP,Elevation,C_green_leaf,C_senesced_leaf,N_green_leaf,N_senesced_leaf,P_green_leaf,P_senesced_leaf,K_green_leaf,K_senesced_leaf,Ca_green_leaf,Ca_senesced_leaf,Mg_green_leaf,Mg_senesced_leaf,Spec_area_green_leaf,Spec_area_senesced_leaf,Area_green_leaf,Area_senesced_leaf,Mass_green_leaf,Mass_senesced_leaf,Leaf_loss,Leaf_shrink
235,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Spatholobus suberectus,N-fixer Fabaceae,Tree (evergreen) Liana,Picked from the plant,20.5,1380,1400,,,3.82,2.04,0.17,0.05,,,,,,,123.5,103.5,114.7,93.2,1416.5,964.6,31.9,18.7
236,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Uncaria rhynchophylla,Rubiaceae,Tree (evergreen) Liana,Picked from the plant,20.5,1380,1400,,,2.08,0.95,0.07,0.03,,,,,,,105.9,96.6,27.2,23.7,288,228.9,20.6,12.9
6,Campanella & Bertiller (2008),7,Argentina,Chubut Province,Patagonian Monte,,-42.7,-65.4,B,Shrubland,Chuquiraga avellanedae,Asteraceae,Tree (evergreen),Picked from the plant,13.9,258,115,,,1.5,0.4,,,,,,,,,216.3,,,,,,,
7,Campanella & Bertiller (2008),7,Argentina,Chubut Province,Patagonian Monte,,-42.7,-65.4,B,Shrubland,Chuquiraga hystrix,Asteraceae,Tree (evergreen),Picked from the plant,13.9,258,115,,,1.1,0.57,,,,,,,,,411.5,,,,,,,
8,Campanella & Bertiller (2008),7,Argentina,Chubut Province,Patagonian Monte,,-42.7,-65.4,B,Shrubland,Larrea nitida,Zygophyllaceae,Tree (evergreen),Picked from the plant,13.9,258,115,,,2.47,0.97,,,,,,,,,148.2,,,,,,,
9,Campanella & Bertiller (2008),7,Argentina,Chubut Province,Patagonian Monte,,-42.7,-65.4,B,Shrubland,Larrea divaricata,Zygophyllaceae,Tree (evergreen),Picked from the plant,13.9,258,115,,,1.77,0.72,,,,,,,,,181.3,,,,,,,
10,Campanella & Bertiller (2008),7,Argentina,Chubut Province,Patagonian Monte,,-42.7,-65.4,B,Shrubland,Atriplex lampa,Chenopodiaceae,Tree (evergreen),Picked from the plant,13.9,258,115,,,1.32,0.67,,,,,,,,,197.5,,,,,,,
11,Campanella & Bertiller (2008),7,Argentina,Chubut Province,Patagonian Monte,,-42.7,-65.4,B,Shrubland,Prosopis alpataco,N-fixer Fabaceae,Tree (deciduous),Picked from the plant,13.9,258,115,,,3.65,2.26,,,,,,,,,166.4,,,,,,,
12,Campanella & Bertiller (2008),7,Argentina,Chubut Province,Patagonian Monte,,-42.7,-65.4,B,Shrubland,Lycium chilense,Solanaceae,Tree (deciduous),Picked from the plant,13.9,258,115,,,5.2,1.06,,,,,,,,,98.4,,,,,,,
13,Campanella & Bertiller (2008),7,Argentina,Chubut Province,Patagonian Monte,,-42.7,-65.4,B,Shrubland,Bougainvillea spinosa,Nyctaginaceae,Tree (deciduous),Picked from the plant,13.9,258,115,,,2.42,0.75,,,,,,,,,144.3,,,,,,,
14,Campanella & Bertiller (2008),7,Argentina,Chubut Province,Patagonian Monte,,-42.7,-65.4,B,Shrubland,Stipa tenuis,Poaceae,Graminoid,Picked from the plant,13.9,258,115,,,3.51,0.75,,,,,,,,,113.2,,,,,,,
15,Campanella & Bertiller (2008),7,Argentina,Chubut Province,Patagonian Monte,,-42.7,-65.4,B,Shrubland,Stipa speciosa,Poaceae,Graminoid,Picked from the plant,13.9,258,115,,,1.44,0.53,,,,,,,,,237.9,,,,,,,
16,Campanella & Bertiller (2008),7,Argentina,Chubut Province,Patagonian Monte,,-42.7,-65.4,B,Shrubland,Poa ligularis,Poaceae,Graminoid,Picked from the plant,13.9,258,115,,,2.24,0.98,,,,,,,,,144,,,,,,,
496,Cardenas & Campo (2007),8,Mexico,Sierra de Huatla Reserve,,Primary forest,18.5,-99,A,Seasonally tropical dry forest,Lysiloma microphyllum,N-fixer Fabaceae,Tree (deciduous),Picked from the plant,24.5,850,930,,,2.31,1.95,0.21,0.1,,,,,,,,,,,,,,
497,Cardenas & Campo (2007),8,Mexico,Sierra de Huatla Reserve,,Early successional (10 years),18.5,-99,A,Seasonally tropical dry forest,Lysiloma microphyllum,N-fixer Fabaceae,Tree (deciduous),Picked from the plant,24.5,850,930,,,3.23,1.87,0.17,0.07,,,,,,,,,,,,,,
498,Cardenas & Campo (2007),8,Mexico,Sierra de Huatla Reserve,,Late successional (60 years),18.5,-99,A,Seasonally tropical dry forest,Lysiloma microphyllum,N-fixer Fabaceae,Tree (deciduous),Picked from the plant,24.5,850,930,,,2.52,1.99,0.22,0.1,,,,,,,,,,,,,,
526,Cartaxana & Catarino (2002),9,Portugal,Tagus estuary,Vasa Sacos salt marsh,Lower marsh,38.8,-9,C,Salt marsh plant species,Spartina maritima (Curtis) Fernald,Poaceae,Graminoid,Picked from the plant,17,650,0,,,2.42,1.87,,,,,,,,,,,,,,,,
527,Cartaxana & Catarino (2002),9,Portugal,Tagus estuary,Vasa Sacos salt marsh,Mid marsh,38.8,-9,C,Salt marsh plant species,Halimione portulacoides (L.) Aellen,Amaranthaceae,Tree (evergreen),Picked from the plant,17,650,0,,,1.64,0.8,,,,,,,,,,,,,,,,
528,Cartaxana & Catarino (2002),9,Portugal,Tagus estuary,Vasa Sacos salt marsh,Upper marsh,38.8,-9,C,Salt marsh plant species,Arthrocnemum perenne (Miller) Moss.,Chenopodiaceae,Forb,Picked from the plant,17,650,0,,,1.84,0.95,,,,,,,,,,,,,,,,
948,Chapin & Kedrowski (1983),10,USA,AK,Fairbanks,University of Alaska,65.9,-147.8,E,,Betula papyrifera,Betulaceae,Tree (deciduous),,-3,400,200,,,1.99,0.5,0.17,0.1,,,,,,,,,,,,,33.9,
949,Chapin & Kedrowski (1983),10,USA,AK,Fairbanks,University of Alaska,65.9,-147.8,E,,Alnus crispa,N-fixer Betulaceae,Tree (deciduous),,-3,400,200,,,2.48,0.94,0.13,0.02,,,,,,,,,,,,,36.5,
950,Chapin & Kedrowski (1983),10,USA,AK,Fairbanks,University of Alaska,65.9,-147.8,E,,Larix laricina,Pinaceae,Conifers,,-3,400,200,,,2.24,0.47,0.21,0.12,,,,,,,,,,,,,42.3,
951,Chapin & Kedrowski (1983),10,USA,AK,Fairbanks,University of Alaska,65.9,-147.8,E,,Picea mariana,Pinaceae,Conifers,,-3,400,200,,,,,,,,,,,,,,,,,,,11.4,
952,Chapin & Kedrowski (1983),10,Sweden,,,,,,D,,Tilia platyphylla,Tiliaceae,Tree (deciduous),,,,,,,,,0.37,0.22,,,,,,,,,,,,,22,
953,Chapin & Kedrowski (1983),10,Sweden,,,,,,D,,Carpinus betulus,Betulaceae,Tree (deciduous),,,,,,,,,0.26,0.21,,,,,,,,,,,,,15,
954,Chapin & Kedrowski (1983),10,Sweden,,,,,,D,,Prunus padus,Rosaceae,Tree (deciduous),,,,,,,,,,,,,,,,,,,,,,,0,
955,Chapin & Kedrowski (1983),10,Sweden,,,,,,D,,Fagus sylvatica,Fagaceae,Tree (deciduous),,,,,,,,,0.16,0.13,,,,,,,,,,,,,31,
956,Chapin & Kedrowski (1983),10,Sweden,,,,,,D,,Quercus petrae,Fagaceae,Tree (deciduous),,,,,,,,,0.36,0.28,,,,,,,,,,,,,0,
957,Chapin & Kedrowski (1983),10,Sweden,,,,,,D,,Sorbus intermedia,Rosaceae,Tree (deciduous),,,,,,,,,0.43,0.31,,,,,,,,,,,,,36,
